text,label
@user you might not wanna come to anatomy tomorrow\u002c we have a test lol ,0
What I plan on eating tomorrow at the @user ... Deep fried Kool-Aid\u002c Deep fried Derby Pie\u002c Deep fried Girl Scout Thin Mints\u002c etc... ,1
@user @user ha! Probably google. Get some pro ones done for the next time! Off to @user tomorrow! Can't wait ,2
"Donald Trump: I will be in D.C. on Wednesday,1 PM, in front of the Capitol, to protest the horrible &amp; incompetent deal being made with Iran. ",0
Sam Smith singing the new Bond theme... Tomorrow Never Diets ,1
I went to the Polish Festival on Roncesvalles on Saturday awesome time! ,2
"@user all I can say is that it was very unrealistic. The 1st movie was better-storyline\u002c dialogue! And of course \""""""""The Grey\"""""""" thumbs up!"" ",0
Boateng put through his own net in the dying seconds to hand Bayer Leverkusen a 2-1 victory on Sunday evening... ,1
"@user I had Arian Foster so I'm on 26 already, but having Luck and Hilton puts you in a good place going into NFL Sunday."" ",2
@user BY HAVING Seth Rollins as number 1? All credibility is lost. May be the worst WWE champion in history! WWE owns yall? ,0
@user yea I went to the one at MetLife on August 5th #OTRAMETLIFE ,1
Woot!  So excited that I get to watch tonight's game. Go Colts!! ,2
Satan worshipers align with Planned Parenthood to defend the practice of chopping up babies for profit ,0
So .... Who's up for seeing Ant-Man with me on Saturday? 2:30pm showing. Let me know! ,1
Very excited for @user #SummerSlam paperview this Sunday. Man I really hope the Undertaker tombstones Brock Lesnar back to the UFC ,2
@user may i also remind you Milan  was one the original clubs punished in the scandle ,0
"""Foo Fighters in October, Shinedown in November, Jaguars in December, and Razorbacks in between. Are you ready @user ?"" ",1
A BIG day at Cardiff Airport tomorrow for Iron Maiden fans! Watch this space to find out what's going... ,2
@user not one word deploring attacks on Charlie Hebdo nor barbaric nature of islam in the 21st C as long as it's sharia compliant ,0
"""White Sox have runners on corners with 1 out and are trailing 5-3 in 9th. Ramirez up, Beckham pinch running at 1st for LaRoche."" ",1
Did you know that 'Janet Jackson' was Trending Topic on Thursday 3 for 8 hours in Calgary? #trndnl ,2
Saw it late but Carlos Gomez may have passed Ryan Braun in most hated baseball players ,0
Pochettino should have started Alli. He'll probably do a Kane and keep him on the bench till November. Might be too late for him this term ,1
@user Hi Martina - am at St. Patrick's tomorrow for 10:30 Mass.  Hope to see you then. ,2
Christians snapchat story makes me want to kill myself..like I feel like a depressed 8th grader going through that emo phase ,0
'Amazon Prime Day' appeared on Wednesday 15 at the 19th place in the Top20 of Edinburgh's Trends: #trndnl ,1
My Sunday nights haven\u2019t been the same since @user has been gone from Breakout Kings. I wonder what he\u2019s doing next? Can\u2019t wait 2 c! ,2
Was just talking about Frank Gifford Sat &amp; sadly he dies on Sun. Maybe I'll be talking about @user today. #gopclowncar ,0
"Jay-Z: Can I get a Fuck You? Jay-Z's Dad: I don't know, CAN you? Jay-Z: MAY I get a Fuck You? Jay-Z's Dad: No, it's supper time. Go wash up. ",1
""".@LenKasper: """"Bryant has hit some big home runs...""""  [Kris Bryant hits a game-tying two-run HR in the 8th]"" ",2
"If Bernie Sanders gets elected he'll create 2nd depression by high taxes, outsource jobs,small businesses collapsing ",0
@user I was there for Charlie Hebdo. My sister is going there Dec 2 so I'm updating all my followers on FB. Mom's ok. For now. ,1
"I seriously might just take the fam to Disneyland right now and come back in time for work tomorrow. Got a stack, why not? ",2
Curtis painter did the curtis Painter last night... a fumble and one walk-in td overthrown by 8 yards. ,0
@user @user Dear CNN thank you for advertising Sarah Palin was going to be on your show Sunday morning. I didn't watch. Get wise! ,1
Check out our live coverage of the Apple event here. ,2
Still not clear whether Yakub will be hanged Thursday! One more challenge to his death sentence in the SC ,0
"""If it ain't broke don't fix it, why move kris Bryant up to 3rd when he's hitting as good as he has all season at 5"" ",1
"@user Steelers fans are AWESOME! Just for that, I'm making it my mission to piss off a Brown's fan today hehe #inspiration"" ",2
"""I'm about to start barging The Pier every monday, imma just need to stock up on Moebius stickers"" ",0
"@user @user May I just point out that even though DT's tweet was horrendous, it was after Charlie Hebdo on January 7th"" ",1
Nice: @user 2nd spot in Amazon Prime's #TV #campaign shows next day delivery coming to rescue of a lame #dog ,2
@user I feel it is 2nd rate. Mansbridge doesn't point out when Harper's not answering the question. Debaters would do that. ,0
listening to POETIC JUSTICE for the 1st time #DontJudgeMe ,1
"""I just noticed that Alli Simpson, Sarah, and April follow me. WHY DIDN'T I KNOW HOLY FUDGING FUDGE BALLS. THIS WORLDDDDDDD"" ",2
I rate Lee Dickson but Danny Care has to be on the bench sat for the 2nd test 60 mins with tired legs he will be dangerous #rugby #saeng ,0
Gucci trousers coconscious desire november extend the biform thine life advanced dispersion headed for no orga... ,1
even though there is rampage tonight\u002c a gig tomorrow the best thing about my weekend will be seeing @user #loveyou ,2
Obama is putting US on par with every other 3rd world country ,0
"""Caitlyn Jenner is distraught about the prospect of going to female prison. Bruce Jenner, however, is thrilled that his plan may have worked."" ",1
@user @user ur fact: Milan hv a good squad and in the real world fact: Milan is 8th Placer hehe ,2
@user He may not be preaching it but it is the result of him appearing on shows like Bill Maher. This itself is dangerous. ,0
@user Arsenal have won three PL games at the Emirates having been two goals down; v Bolton (Mar 08 & Jan 10) and v Spurs (Feb 12). ,1
going Hilton hotel on Thursday for dinner #cantwaitt ,2
@user TMILLS is going to Tucson! But the 29th and it\u2019s on a Thursday :( ,0
"""Dec 13, 1965 John Lennon, Paul McCartney and George Harrison meet at NEMS HQ to discuss the group's third film project, A Tallent For Lovng"" ",1
my bestfriend is performing for tomorrow Nurses Day in school. hopefully she'll do fine up on the stage. i love you :* @user ,2
@user i would just like to say i will not be singing tomorrow\u002c i barely have a voice.. you and trina are on your own :p ,0
"""#On a walk with Rahul Gandhi #jobs #500K #: #Last Monday, a crowd of about a thousand people stood on a barren... ",1
Almost 3M between Bey and us! We have to vote harder to take the 1st place Monsters! #MTVStarOf2015 Lady Gaga ,2
"@user @user She has 1st amendment rights of rel,, they could have just taken her name off it. You just hate Christians."" ",0
Petr Cech has been linked with a January move to Atletico Madrid: #CFC ,1
Christian Ponder would be proud of that 1st quarter passing outburst for the #Vikings ,2
"""If Yakub hangs, it would prove Tiger Memon right. Pakistan's ISI will have the last laugh. ",0
"""Bono,Paul McCartney &amp; Freddie Mercury together on stage during the Live Aid concert at Wembley Stadium on 13 July '85 ",1
"""\""""Why America May Go To Hell\""""- wish it wouldve been completed and i wish i could read the contents of it...  by MLK"" ",2
"@user the last time they hit Niall's injured knee, this time Harry's head! They may really hurt them! This NEEDS to stop!"" ",0
Gowns at the ready girls\u002c Q4 update tomorrow! @user @user ,1
"""FRIDAY Get out of the cold &amp; join us at Rum Runners in Dennisport, 9pm. Then bundle up SATURDAY and join George &amp;... ",2
"""Muslims claiming they are victims of oppression, when the Quran keeps them in perpetual isolation ",0
When the boys pre-recorded their performance of Little Things for the X Factor UK on Sunday\u002c Eleanor was in the audience. #1DNews ,1
ISAT\u2019s tomorrow. Make it or break it for North Georgia. Getting a good nights sleep tonight. ,2
I still didn\u2019t watch Degrassi from Friday? What am I doing with my life? Apparently not much. ,0
"""on Black Friday i always thought Kendrick said """"Coney Island!!"""" but he says """"Can you Handle It"""" lmfaooo #whyamistupid"" ",1
"@user Amongst a body of work that is superlative, this may sit near the top; freedom passage is writerly elegance Nirvana"" ",2
I'm so frustrated with Game of Thrones and I'm only on the 10th episode ,0
Westbound into the U.S.- ongoing bridge inspection- construction - may be delays - Eastbound into Canada- Trucks No delay -cars no delay ,1
Presidency: Military may wipe out Boko Haram insurgents ahead deadline: The Nigeria military could wipe the in... ,2
"""In retrospect, the prefunk nap and midnight Red Bull may have been a poor decision. #wired #preparefshiporludicrousspeed"" ",0
later that month (28th of Feb) Calvin posted a photo on his FB w/ Louis from the same night they partied with Briana ,1
"""May the 4th? Nah, today is Star Wars DAY! ",2
"When Sarah Palin met Donald Trump via @user  'If this was journalism, it was not as we know it.' #WhiteHouse2016 ",0
Just put Twilight on then realised what had done and now I'm sat on my stairs thinking about my actions. ,1
You just gotta ignite the light and let it shine just own the night like the 4th of July - Katy Perry ,2
"@user @user As generally invoked, Islamophobia describes the fear by MSM that after a Terrorist attack, we may hate Muslims."" ",0
Jason Wu - lace\u002c bandeau tops\u002c harnesses and the debut of his 4th bag line\u002c The Carolyn #jasonwu #nyfw ,1
Done Reading: 4 Aug' 2015 Rate: 5/5 star Review: check it out on goodreads and google+ #bibliophile #book ,2
I hate that this will be the 3rd year FIFA has legends and PS4 users STILL can't play with them. When is this changing @user ,0
Such a tough choice... Ghost Rider or Friday the 13th.. ,1
I always thought Prince was the 18th best songwriter of all time but it's nice of Rolling Stone to confirm that. ,2
"""In case you were wondering, Caitlyn Jenner is responsible for the death of a woman in a car crash in February. How courageous is she now?"" ",0
Last Saturday\u2019s London Children\u2019s Book Swap went swimmingly! see pictures here and read about it on the blog:... ,1
"""anyone interested in a couple of tickets for Runrig tomorrow at the Northern Meeting Park, Inverness?"" ",2
"Angela Merkel told UK to take more of her 800,000 immigrants.That was April.Now she's putting in border controls ",0
Smooches from Fido: Yea or Nay? - July 6th was International Kissing Day (of the human sort). Later in the month\u002c Ca... ,1
Apple CEO apologizes for error-ridden new map app (+video): Apple CEO Tim Cook apologized Friday for the company... ,2
@user may he forgot Israel isn't Syria or Afganistan. ..we will see if he beat  or he will be beaten hard ,0
"""I counted five tight points from Anderson in that game, may have been more. Gets a slice of fortune with Murray netting the BH. Holds for 41"" ",1
I want to trade an Ant-Man fig for this Yellowjacket. All from @user June box. Tweet if interested ,2
It sucks we live in a world where Sharknado is about to start a 4th sequel but we can't get a Tron 3 or Dredd 2. ,0
Reminder July 22nd @ 3pm i will be hosting an Open Lobby on the Livestream ,1
@user I've been watching Seinfeld since like the 5th grade ,2
Fail: Philly Daily News with the 2nd worse possible Frank Gifford death photo v ,0
"""Glenn will personally go to the border to bring in Christians marked for extermination: 'Last Friday, Glenn pl... ",1
Tomorrow @ 5pm in GSC buy tickets to Ed Sheeran in concert at Riverbend on 9/17. Tickets are $20 cash. See you there! ,2
If you go down to history books of islam you will see that nothing like Boko Haram fake jihad ever take place ,0
"""Nicki is FED UP! When she 1st came out she was bashed for her creativity, her body, her music. Now her opinions. I don't blame her."" ",1
Roomie and I are moving into our new apartment tomorrow and then going to Disneyland in 3 days. ,2
Falcao makes it 2-1 in the 26th minute. He is on the Red Team. I refuse to call them the Red Stars and Black Masters. ,0
Deal of the Hour $2622 & up -- Brazil\u002c Chile\u002c Uruguay & Argentina Tours w/Air: Through April #deals ,1
In Dunkin today I saw 4 elderly men trying to take a selfie and it may have been the cutest thing I've witnessed in my entire life ,2
if Selena will release the single next Monday with Taylor's new song she can kiss #1 on iTunes goodbye ,0
@user pondering what todo with this 512mb Raspberry Pi sat on my desk! got the other two doing radio tasks! ,1
We got lost in the eternal city on our 1st night & stumbled upon this treasure #ItalianEngagement  ,2
The Sun is bullshit 99% of the time but they're the ones who said Louis is gonna be a dad and Zayn left and look what happened ,0
"@user \""""""""Danny Care card. To stand a chance of winning\u002c tell us which football club he was at as a youngster\"""""""" = Sheffield Wednesday"" ",1
Tomorrow I get my hands on my copy of VLR for PS Vita. Hopefully the postive impression I got from the demo carries over to the full copy. ,2
@user may you PLEASE release versions of Windows when its stable Windows 10 is no where near stable! ,0
"@user I just read your diagnosis on Pistorius back from July 3. I searched google for """"""""pistorius psychopath"""""""" because I see his pic"" ",1
he may not be an idol but he is the reason why I'm into kpop ,2
Niggas was really fighting at the gas station  Sat night tho ,0
October 18 is the birthday of Chuck Berry. About the talent in his chart\u002c see Art&Astrology: ,1
@user They're actually going venue shopping tomorrow! They're checking out Grand Bend and surrounding areas (ie. St. Mary's)! ,2
I just offered to bring someone Taco Bell for lunch tomorrow & they denied me #WhoDoesThat!? You should always accept Taco Bell! #Always ,0
The 25th of February\u002c the colonists returned to Granite House\u002c and by means of the double cord\u002c shot by an arrow to the door-landing\u002c commu ,1
Tina Fey and Amy Poehler will host the Golden Globe Awards: In what may be the smartest thing the Hollywood Fore... ,2
"""UK Home Sec Theresa May, a MoU with Saudi Arabia and why global condemnation of human rights record won't happen  ",0
"You may think Venus and Serena are impressive, but are you aware of that one time my sister and I fought over a ham sandwich? ",1
"Oney Thursday and Friday, MetLife for Giants-Jets Saturday. Shaping up to be one hell of a 21st birthday weekend with @user ",2
the fact that so many will vote for a socialist fake liar for President is very very frightening and may bring America to ruin! ,0
@user @user  Don't suppose you know if the Chelsea game will change times or dates due to Chelsea playing CL on a Tuesday?? ,1
"Just listening to whitney houston, celin dione and mariah carey.... just a perfect sunday,, true talent there ladies and gents ",2
Dream High 2 sucks compared to the 1st one. ,0
"""For those not at Cedar Point on the 27th, be at #HallowFreakend ;) @ American Legion (31775 Grandriver Ave Farmington Hills 48336) x2"" ",1
@user @user @user No he not Kendrick is the best rapper in mainstream right now Black Friday freestyles ex. ,2
Why in God's name would CNN have Sarah Palin on tomorrow? There's no one else from Alaska who can talk about Obama's visit? ,0
@user have you heard Black Friday by Kendrick Lamar &amp; j.Cole ?? ,1
Chelsea will pursue the signing of Paul Pogba from Juventus until the transfer window closes on Tuesday. (Source: Independent) ,2
@user Green Bay drafted Rogers at about the same spot and he sat for years.  Obviously a wasted pick. SMH #findarealsportsstory ,0
#MusicToday Ben Sollee - How To See The Sun Rise (with lyrics) - HD #Blipfm ,1
Josh Reddick was a big fan of that Taylor Kitsch guy from Battleship when he was on Friday Night Lights and had the hair. ,2
@user Not if they fight against Muslims for the USA as the FSA does now. They may as well smoke because they'll burn in Hell anyway ,0
All the basic females #mcm in atlanta is either jacquees drake chris brown august alsina or trey songz ,1
Red Stars game then Sister Hazel at the Lincoln Park Arts and Music fest. Good Saturday. ,2
"""James: Big Brother, if she (Meg) leaves tomorrow, I'm not going to have anyone to aggravate. #BB17 ",0
"EVENT TOMORROW @user Bluegrass Brunch with The Dead String Band, playing the music of the Grateful Dead ",1
@user @user @user @user I\u2019d watch Cougar Town over this any day! January 8 on TBS. Very funny. #firedooley ,2
"""Sucks i cant go to the Nekromantix show OR the Brian Setzer Orchestra show tomorrow and saturday:( i really want to go:,("" ",0
@user David Bowie has a new song out about a real star that may be surrounded by an alien structure ,1
Tomorrow is my last day waking up at 5:30 in the morning to work at Dunkin and I couldn't be happier ,2
I've said all along and still staunchly maintain that the Paris attacks: Charlie Hebdo and the 13 November 2015 one were both Gladio style ,0
RT @user I find it ironic that I almost certainly would not be a Yankees fan today if I hadn't gone to college near Boston #rand ... ,1
#usatoday First-place Mets may get their best hitter back: David Wright went 1-for-3 with ... #sports #sportsnews ,2
"""So unfortunately, it's all really bad timing rn, so I can't go to the Ed Sheeran concert tomorrow, but if anybody wants floor seats...."" ",0
@user are you in the land of my fathers*? (*just the one father. Ignore what you may have read of Liverpudlian sexual mores) ,1
Perseverance is failing 19 times and succeeding the 20th. - Julie Andrews at BrainyQuote via @user ,2
"""#AFailedTextFromToday """"""""You going to Soundset?""""""""-Name Withheld. """"""""Uh, Soundset was last Sunday...."""""""" Ahahahaha"" ",0
"""Scoreless 7th inn for Salem and Potomac, we head to the 8th with the Red Sox leading 6-2. RHP Derek Self through 2.1 scoreless inn of relief"" ",1
"Fleetwood Mac, braaivleis... Befokte Sunday with @user And them @user beers were just as lekker! ",2
Karthikeyan in 22nd is already being warned by his HRT engineer that he needs to cool the brakes\u002c with 53 laps still to go. #F1 ,0
Greasy hair and the smell of weed at shotton station\u002c where art though friday. ,1
@user please Justin follow me ! Hope everyday ! Je t\u2019aime ! Can wait to see u in Paris for the 1st time ! Je t\u2019aime <3 ,2
"@user my PS4 died last night. I press the power button once it beeps, nothing happens. 2nd time beeps blue light comes on but nothing"" ",0
I'm gonna listen to I don't mind then allow zayn's departure to sink in for the 700th time since march 25th ,1
Are you excited #Nirvana fans? Unreleased Kurt Cobain songs to come out in November! via @user ,2
How did people come up with that Briana has been pregnant for 12 months..? Didn't she get preggies like in May or something? Learn to count. ,0
"@user records Hulk Hogan's time in WCW tomorrow. And yes, the timing is a coincidence. ",1
YES!! Allowed to go to the @user concert in Oslo in May!! :D now all I need is to get those tickets... ,2
With all Benson\u2019s attention\u002c Frankie feels like a forgotten stepchild. Lets \u2019founding father\u2019 him so he know we will never forget 2nd place. ,0
Going to see Paper Towns on Saturday. I'm hoping it does the book justice. ,1
I am tweeting this video I found as a tribute to George Harrison because today is the 14th anniversary of his death: ,2
@user Hell it may be their idea to flood Europe with Muslims and then the take over begins world wide towel head dominance ,0
Real Madrid reportedly rule out signing De Gea in January; making me believe they're getting cold feet about this deal altogether. ,1
Charles Gets The Grandkids Into Gardening: He may be only two years old but it seems Prince George's grandfath... ,2
The Nigerian government hasn't been transparent enough in the fight against Boko Haram #Truth ,0
Joel Obi  may miss out of the Super Eagles team to play Tanzania as reports from Torino say he will undergo more tests on a thigh complaint ,1
@user Yeah I think so. We saw Suarez score up near us and we played pretty well 2nd half so it wasn\u2019t so bad. Probably should\u2019ve had ET ,2
Sandy\u002c if you have ruined my chances to see Bruno mars on Monday I will go buck wild. ,0
Off to Dunkin or J.C.O tomorrow with @user ,1
Favorite this tweet if you want to be my date to Foo Fighters at Wrigley Field this Saturday ,2
Heres everybody\u2019s warning nobody better piss me off tomorrow\u002c Idc who you are I\u2019m gonna snap #done #imatmybreakingpoint #canttakethisanymore ,0
Talking about the Bosco vs. JSerra game this Friday. Around the Horn style w/ @user and @user #WCFF ,1
@user headed to Baylor homecoming tomorrow with my baber. Should be fun even without RG3! ,2
This is the usual liberal reflex of blame Republicans for everything. Like Muslims many liberals parrot what told. ,0
Viola Davis in a black & white Max Mara dress at the  29th Annual Fashion Group International Night Of Stars ,1
25 yrs ago\u002c Blessed Pope John Paul II visited the Archdiocese of Detroit-- the 1st papal visit to MI in history. ,2
@user @user -How could anyone (Other than Megyn Kelly) compare Rick Perry with Trump? C'mon. Perry is a joke. ,0
Back to the HB pass back on 1st drive..if I heard the rumors of Fedora\u2019s plan..you have to think TOB did. Get your D to stay on assignment. ,1
"""But Justin Bieber may be, but her real taste if you call _catching him._ It will always remain-- """"Your promise to hope for"" ",2
LOL Too clever by half! Your daddy was disappointed over Yakub's hanging &amp; he was a dreaded terrorist! Get it?  ,0
 @user The U.S. says the Boko Haram sect in north-east Nigeria may have benefitted from money gotten from crude oil theft. ,1
Big inning for the White Sox. That error by Alexei Ramirez that allowed a run to score in the top of 8th weighing heavily right now. ,2
Scott Walker pretends that building a wall on the Canadian border to keep out terrorists is a serious idea. ,0
"""Raffensberger didn't have many Saturday workouts, following the example of Ira Dunsworth. """"Kids need time to be kids"""". Sletten didn't either"" ",1
@user I\u2019ll be in cypress tonight and tomorrow night! I better see you! ,2
"@user may you be blessed by guns, god and hungry wet holes before Scott Walker builds his border wall and Donald Trump sends you home!"" ",0
"Spent Labor Day on the campaign trail in New Hampshire, listening to Bernie Sanders (who I'll write about Sunday)... ",1
Nicki better release a raunchy vid for trini Dem girls so it can get her 1st grammy ,2
"""RT @user I can't wait to read all the tweets from all of the girls bitching about being single tomorrow! #myfavorite ",0
Paul Dunne's lowest round of the year in college for @user was 67. He just shot 66 in the 3rd rd of @user &amp; is tied for the lead ,1
First time I've been called off in a while and couldn't ask for a better day to have off. Plus Jason Aldean is tomorrow! ,2
"@user Yup, saw it on Bill Maher documentary on crazy folk lol Apparently their mock Palm Sunday festival is a big hit. #sarcasm"" ",0
START PLANNING NOW:  Thursday 12/10 DJ Hip Hop Club with Briana + Jazon in Palo Alto Save your spot on the dance... ,1
Happy Swift Day! lol That's probably the 10th time I said that! Haha have a great day everyone(: ,2
@user @user I rather watch paint dry or stare at the sun. your show is 100% fake like you Caitlyn Jenner. tsktskshameshame! ,0
VIDEO: John Cena hits Jon Stewart with an attitude adjustment on Monday Night #RAW ,1
i've never watched naruto but i love the 16th opening it's my favorite ,2
Why oh why did I drink three cups of coffee to stay up binge watching Gilmore Girls when I have to be at the gym tomorrow at 10:30 ,0
"My Iowa people, who is going to Eric Church on Friday at the Jones County Fair??? ",1
Happy Thursday! Finishing rehearsals for the act at the People\u2019s Choice Awards. ,2
Mark Levin Market Crash: It's Not China-It's Barak Obama My belief Obama is working with China to destroy USA ,0
"""Blueberry muffins last night, brownies tonight, Oreo balls Wednesday...I'm done."" ",1
It's our 3rd anniversary! Can you believe that? Many thanks to all who have supported &amp; are continuing to patronize Mitchie's Sweet Petites! ,2
@user It was a Article saying that Zayn is regretting leaving 1 direction pretty much bashing Zayn like the SUN Always does ,0
@user come party with us tomorrow night in Naples Maine at Ricks cafe!! ,1
Im mind blown after watching Magic Mike XXL for the 1st time ,2
@user I hope someone asks Harper why the team bailed in the 7th inning ,0
PM Narendra Modi to Address Top Military Commanders on Friday Prime Minister Narendra Modi will interact with the ,1
"""// So, I thought Ant-Man was out of the question for the cinema Saturday but my boyfriend said the films he's seen are 'awesome' and that -"" ",2
Yakub has gone. whatever happened may be right. I want asked Kiran bedi .that whatever Yakub done.it was wrong  but after Babri masjid -- ,0
Interested in learning more about LTA? Join us Monday Sept 10 at 8pm in Morris Hall room 130 for (cont) ,1
@user FRIDAY OCT 19th!!!! THE ALUMNI will be rocking Philly!!!!! FREE SHOW  @ the Liacouras Center 7pm CLASSIC HIP HOP! ,2
I've a bad feeling Simpson's plot in the 2nd half of the season is #JessicaJones equivalent of 'Thor's vision quest' in Age of Ultron ,0
Then he texted that their first conference game was Ohio State nov 28...uh Ohio State isnt in the ACC buddy ,1
@user Tell you at our Friday lunch<3 Sorry for the late reply but yes we can eat somewhere on Marshall tomorrow haha :D ,2
"""The Borno state police commissioner, Aderemi Opadokun, on Monday confirmed fresh attacks by the Boko Haram sect... ",0
when I go to the Foo Fighters concert in October in Atlanta I'm gonna be so sad if don't get to meet Dave Grohl somehow ,1
@user I droped my Nokia 5800 from the 5th floor &amp; it didnt even hav a scratch (not exageratin). I wish new phones had that kinda durability ,2
@user like how are ppl supposed to pay rent? Should i ask the pope on the 26th when he comes? ,0
Lazy Sunday Ray Allen Is Lamar Odom really going to the D League ?http://t.co/w6juHFgR ,1
I may never tweet about anything other than Kanye West ever again ,2
@user Are you off somewhere nice? I'm bored today. Got a list of 395 applications I need to get ready for Windows 7. Tedious ,0
 Boris Johnson Times. Ed moans abt George going 1st class but David Miliband travelled by Royal Jet. #boris johnson ,1
"""Bubble Tea Yogurmet, you'll love it, come to Miramar and starting next Saturday we will be open at Doral.10712 NW 74th St"" ",2
"1,500 people go to Pride Parade on Sat. and it's on the cover of the PD. 35k folks go to @user and PD fails to mention it. #JustSaying ",0
@user then when they get to it Curtis and Tommy wanna come play !! bruh lmao... I havent seen Jamall yet tomorrow gonna be a show ,1
A historic milestone... Women in Saudi Arabia vote for the first time in municipal election! #DLC_Law30 ,2
"""#YakubVerdict: my 11yr old exclaimed, tomorrow will be the worst birthday for Yakub but his 1st bday was worst for the country! Makes sense"" ",0
@user Enter our competition to win a London Children\u2019s Map Puzzle just follow and RT.Closes Friday 8th@4pm . ,1
"""\""""@101greatgoals: 3rd in 2 games!!! Emile Heskey bags the opener for Newcastle Jets v Melbourne Victory ha ha ha !!!"" ",2
I think my yoga teacher hates me cuz on the 1st day I refused to take off my socks and then today he made me do this: ,0
"Based on these Arkham games, Batman may not kill, but he's definitely put a few people in comas. ",1
