"What is the largest continent on Earth, by area?",Asia,Africa,Europe,Australia,North America,South America,Antarctica,,,,,,,A
What color is human blood?,red,blue,purple,black,yellow,green,cyan,white,grey,no color,transparent,,,A
What is the capital of France?,Paris,Moscow,Berlin,Rome,Brussels,Madrid,Barcelona,,,,,,,A
What is the capital of Spain?,Paris,Moscow,Berlin,Rome,Brussels,Madrid,Barcelona,,,,,,,F
What is the capital of Germany?,Paris,Moscow,Berlin,Rome,Brussels,Madrid,Barcelona,,,,,,,C
What is the capital of Belgium?,Paris,Moscow,Berlin,Rome,Brussels,Madrid,Barcelona,,,,,,,E
What is the capital of the United States of America?,Paris,Moscow,Berlin,Rome,"Washington, D.C.",Madrid,Barcelona,,,,,,,E
What is the capital of China?,Beijing,Chengdu,Tianjin,Tokyo,"Washington, D.C.",Madrid,Barcelona,,,,,,,A
What is the capital of India?,New Delhi,Agra,Islamabad,Bangalore,"Washington, D.C.",Beijing,Bombay,,,,,,,A
What is the name of the shape with three sides?,triangle,grid,decagon,hexagon,rhomboid,icosahedron,square,pyramid,prism,circle,,,,A
What is the name of the shape with four sides?,quadrilateral,triangle,decagon,hexagon,rhomboid,icosahedron,square,pyramid,prism,circle,,,,A
What is the name of the shape with five sides?,pentagon,quadrilateral,triangle,decagon,hexagon,rhomboid,icosahedron,square,prism,circle,,,,A
What is the name of the shape with six sides?,grid,decagon,hexagon,rhomboid,icosahedron,square,pyramid,prism,circle,triangle,,,,C
What is the name of the shape with eight sides?,octagon,pentagon,quadrilateral,triangle,decagon,hexagon,rhomboid,icosahedron,square,prism,,,,A
Which is the name of the study of living organisms?,biology,chemistry,computer science,physics,mathematics,research,taxonomy,,,,,,,A
Which is the name of the study of human cultures and society?,anthropology,chemistry,computer science,physics,mathematics,research,taxonomy,,,,,,,A
Which is the name of the study of the heart and circulatory system?,cardiology,chemistry,anthropology,computer science,physics,mathematics,research,taxonomy,,,,,,A
Which is the name of the study of the origin and development of the universe?,cosmology,chemistry,anthropology,cosmetology,physics,mathematics,research,taxonomy,,,,,,A
Which is the name of the study of space?,astronomy,chemistry,anthropology,cosmetology,physics,mathematics,research,taxonomy,,,,,,A
Which professional would you consult if you have health issues?,doctor,lawyer,friend,minister,shaman,secretary,parent,masseur,,,,,,A
Where would you go to buy dinner?,restaurant,hospital,school,hotel,bus,beach,,,,,,,,A
What is the second-largest planet in the solar system?,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Ceres,,,,F
What is the largest planet in the solar system?,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Ceres,,,,E
What planet in our solar system is closest to the sun?,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Ceres,,,,A
What planet in our solar system is second closest to the sun?,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Ceres,,,,B
What is the closest star to the Earth?,Sol,Mercury,Venus,Moon,Proxima Centauri,Alpha Centauri,Sirius,,,,,,,A
How many meters are in one kilometer?,"1,000","1,024","1,760","1,609","1,234",100,10,1,"23,134","1,000,000",,,,A
How many yards are in one mile?,"1,000","1,024","1,760","1,609","1,234",100,10,1,"23,134","1,000,000",,,,C
How many inches are in one foot?,12,1,2,3,6,24,,,,,,,,A
How many feet are in one mile?,12,144,"5,280","1,760","1,234","1,000",,,,,,,,C
How many cups are in one quart?,1,2,4,8,,,,,,,,,,C
How many ounces are in one cup?,1,2,4,8,,,,,,,,,,D
Which planet in our solar system features prominent rings?,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Ceres,,,,F
Which country is Sardinia part of?,Italy,Spain,Sardinia,Rome,France,Yangtze,Mississippi,Rio Grande,,,,,,A
Which mammal carries its young in a pouch?,kangaroo,deer,goat,sheep,rabbit,dog,,,,,,,,A
What is the longest river in the world?,Nile,Amazon,Sutlej,Congo,Volga,Yangtze,Mississippi,Rio Grande,,,,,,A
On which continent would one find the Nile River?,Africa,Asia,South America,North America,Europe,,,,,,,,,A
On which continent would one find the Mississippi River?,North America,Africa,Asia,South America,Europe,,,,,,,,,A
In which direction should one look to see the sun in the morning?,East,North,South,West,,,,,,,,,,A
In which direction should one look to see the sun in the evening?,East,North,South,West,,,,,,,,,,D
What is the largest volcano on Earth?,Mauna Loa,Everest,Eyjafjallajökull,Fagradalsfjall,Elbrus,Olympus,Vesuvius,Krakatoa,,,,,,A
Which sense do most humans use to read a book?,sight,hearing,smell,taste,touch,,,,,,,,,A
How many nostrils does a human have?,two,four,six,three,one,none,,,,,,,,A
What is the absolute zero value on the Celsius scale?,−273.15,0,−459.67,-9999,none,,,,,,,,,A
